Gene,NSC_GFP,Neu_GFP
Chd8,Unknown,Unknown
Chd9,Unknown,Unknown
Chek1,Unknown,Unknown
Cherp,Euchromatin,Euchromatin
Chfr,Unknown,Euchromatin
Chgb,Unknown,Unknown
Chic1,Unknown,Unknown
Chid1,Euchromatin,Euchromatin
Chl1,Heterochromatin,Heterochromatin
Chmp1b,Unknown,Unknown
Chmp2a,Euchromatin,Euchromatin
Chmp3,Unknown,Unknown
Chordc1,Unknown,Euchromatin
Chrna5,Unknown,Unknown
Chrne,Euchromatin,Euchromatin
Chst1,Euchromatin,Unknown
Chst12,Euchromatin,Euchromatin
Chst9,Heterochromatin,Heterochromatin
Chtop,Unknown,Unknown
Ciao3,Euchromatin,Euchromatin
Ciart,Euchromatin,Unknown
Cic,Euchromatin,Euchromatin
Cilp2,Euchromatin,Euchromatin
Cipc,Euchromatin,Unknown
Cirbp,Euchromatin,Euchromatin
Cisd1,Euchromatin,Unknown
Cisd2,Unknown,Heterochromatin
Cited2,Unknown,Unknown
Ckap5,Unknown,Unknown
Ckb,Euchromatin,Euchromatin
Cks1b,Euchromatin,Euchromatin
Cks2,Unknown,Unknown
Clasp2,Unknown,Unknown
Clasrp,Euchromatin,Euchromatin
Clcn2,Euchromatin,Euchromatin
Clcn4,Unknown,Euchromatin
Clcn5,Unknown,Unknown
Cldn12,Unknown,Unknown
Cldnd1,Unknown,Heterochromatin
Clec11a,Euchromatin,Euchromatin
Clhc1,Unknown,Unknown
Clic4,Euchromatin,Unknown
Clip2,Euchromatin,Euchromatin
Clk3,Euchromatin,Euchromatin
Clk4,Unknown,Unknown
Cln5,Unknown,Unknown
Cln8,Euchromatin,Euchromatin
Clpb,Unknown,Unknown
Clpx,Euchromatin,Euchromatin
Clspn,Unknown,Unknown
Clstn2,Unknown,Unknown
Clta,Euchromatin,Unknown
Cltb,Unknown,Euchromatin
Cltc,Unknown,Unknown
Cluap1,Unknown,Unknown
Cluh,Euchromatin,Euchromatin
Cmc2,Euchromatin,Unknown
Cmc4,Unknown,Unknown
Cmss1,Unknown,Unknown
Cmtr1,Euchromatin,Unknown
Cnbp,Unknown,Unknown
Cndp2,Unknown,Unknown
Cnep1r1,Unknown,Unknown
Cnih3,Euchromatin,Unknown
Cnmd,Unknown,Unknown
Cnn3,Euchromatin,Unknown
Cnnm2,Euchromatin,Unknown
Cnot1,Euchromatin,Euchromatin
Cnot10,Euchromatin,Unknown
Cnot11,Unknown,Unknown
Cnot2,Unknown,Unknown
Cnot3,Euchromatin,Euchromatin
Cnot4,Unknown,Unknown
Cnot8,Euchromatin,Unknown
Cnpy3,Euchromatin,Euchromatin
Cntln,Unknown,Unknown
Coa7,Unknown,Euchromatin
Coasy,Euchromatin,Euchromatin
Cog3,Unknown,Unknown
Cog4,Unknown,Unknown
Cog5,Unknown,Unknown
Col13a1,Euchromatin,Euchromatin
Col23a1,Unknown,Unknown
Col25a1,Unknown,Unknown
Col27a1,Euchromatin,Unknown
Colec12,Unknown,Unknown
Colgalt1,Euchromatin,Euchromatin
Colgalt2,Unknown,Unknown
Commd1,Unknown,Unknown
Commd3,Unknown,Unknown
Comtd1,Euchromatin,Unknown
Copb1,Unknown,Unknown
Cops2,Unknown,Unknown
Cops4,Unknown,Unknown
Cops7a,Euchromatin,Euchromatin
Coq10a,Euchromatin,Euchromatin
Coq10b,Unknown,Unknown
Coq2,Unknown,Unknown
Coq3,Unknown,Unknown
Coq7,Euchromatin,Euchromatin
Coq8a,Euchromatin,Euchromatin
